Codebook,,,,,,,
,,,,,,,
,,,,,,,
Surveyno,,,,,,,
,,Value,,,,,
Standard Attributes,Position,1,,,,,
,Label,Survey Number assigned,,,,,
,Type,Numeric,,,,,
,Format,F11,,,,,
,Measurement,Scale,,,,,
N,Valid,5074,,,,,
,Missing,0,,,,,
Central Tendency and Dispersion,Mean,2537.50,,,,,
,Standard Deviation,1464.882,,,,,
,Percentile 25,1269.00,,,,,
,Percentile 50,2537.50,,,,,
,Percentile 75,3806.00,,,,,
,,,,,,,
RespondentID,,,,,,,
,,Value,,,,,
Standard Attributes,Position,2,,,,,
,Label,RespondentID,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Scale,,,,,
N,Valid,5074,,,,,
,Missing,0,,,,,
Central Tendency and Dispersion,Mean,1.67E+09,,,,,
,Standard Deviation,1.177E+07,,,,,
,Percentile 25,1.65E+09,,,,,
,Percentile 50,1.67E+09,,,,,
,Percentile 75,1.68E+09,,,,,
,,,,,,,
CollectorID,,,,,,,
,,Value,Count,Percent,,,
Standard Attributes,Position,3,,,,,
,Label,CollectorID,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,23113997,,1,.0%,,,
,23120300,,3,.1%,,,
,23120354,,5070,99.9%,,,
,,,,,,,
StartDate,,,,,,,
,,Value,,,,,
Standard Attributes,Position,4,,,,,
,Label,StartDate,,,,,
,Type,String,,,,,
,Format,A19,,,,,
,Measurement,Scale,,,,,
,,,,,,,
q0001,,,,,,,
,,Value,Count,Percent,,,
Standard Attributes,Position,5,,,,,
,Label,Is this survey being conducted in a camp or did you follow a link online? ,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Completed the survey in a camp,19,.4%,,,
,2,Followed a link online,5040,99.3%,,,
,999,No Answer,15,.3%,,,
,,,,,,,
q0002,,,,,,,
,,Value,Count,Percent,,,
Standard Attributes,Position,6,,,,,
,Label,"Your name (surveyor name, not respondent name):  ",,,,,
,Type,String,,,,,
,Format,A50,,,,,
,Measurement,Nominal,,,,,
Valid Values, ,,5057,99.7%,,,
,Andrew McMillan,,1,.0%,,,
,Bob Harry,,1,.0%,,,
,Brett Dykes,,1,.0%,,,
,Bruce Russell,,1,.0%,,,
,Dr. Ragan,,1,.0%,,,
,Johnny B. Goode,,1,.0%,,,
,jon,,1,.0%,,,
,Judy Thomas,,7,.1%,,,
,Judy Thomas Thomas,,1,.0%,,,
,Len,,1,.0%,,,
,wilfred baca,,1,.0%,,,
,,,,,,,
q0003,,,,,,,
,,Value,Count,Percent,,,
Standard Attributes,Position,7,,,,,
,Label,Please assign a unique survey number.  Write it on your survey and enter it here.,,,,,
,Type,String,,,,,
,Format,A50,,,,,
,Measurement,Nominal,,,,,
Valid Values, ,,5058,99.7%,,,
,10,,1,.0%,,,
,121345,,1,.0%,,,
,142,,1,.0%,,,
,1.90754E+31,,1,.0%,,,
,45j8y6,,1,.0%,,,
,763837754,,1,.0%,,,
,9387564,,1,.0%,,,
,987654321,,1,.0%,,,
,Austin2012-01,,1,.0%,,,
,AUSTX-301,,1,.0%,,,
,AUSTX-302,,1,.0%,,,
,AUSTX-303,,1,.0%,,,
,AUSTX-304,,1,.0%,,,
,AUSTX-305,,1,.0%,,,
,AUSTX-306,,1,.0%,,,
,AUSTX-307,,1,.0%,,,
,,,,,,,
q0004,,,,,,,
,,Value,Count,Percent,,,
Standard Attributes,Position,8,,,,,
,Label,Who filled out the survey?  ,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,0,Surveyor filled out survey (please list name of surveyor),2,.0%,,,
,1,Respondent filled out survey,18,.4%,,,
,999,,5054,99.6%,,,
,,,,,,,
q0004_other,,,,,,q0004_other,Surveyor filled out survey (please list name of surveyor)
,,Value,Count,Percent,,,
Standard Attributes,Position,9,,,,,
,Label,Surveyor filled out survey (please list name of surveyor),,,,,
,Type,String,,,,,
,Format,A50,,,,,
,Measurement,Nominal,,,,,
Valid Values, ,,5072,100.0%,,,
,Bob,,1,.0%,,,
,Jthomas,,1,.0%,,,
,,,,,,,
q0005_0001,,,,,,q0005_0001,City:
,,Value,Count,Percent,,,
Standard Attributes,Position,10,,,,,
,Label,City:,,,,,
,Type,String,,,,,
,Format,A50,,,,,
,Measurement,Nominal,,,,,
Valid Values, ,,5055,99.6%,,,
,"Amherst, MA",,1,.0%,,,
,Austin,,8,.2%,,,
,"Charleston, SC",,1,.0%,,,
,Columbia,,1,.0%,,,
,DC,,1,.0%,,,
,London,,1,.0%,,,
,Lubbock,,2,.0%,,,
,peyton,,1,.0%,,,
,Rio,,1,.0%,,,
,"San Antonio, Texas",,1,.0%,,,
,Santa Rosa,,1,.0%,,,
,,,,,,,
q0005_0002,,,,,,q0005_0002,Country:
,,Value,Count,Percent,,,
Standard Attributes,Position,11,,,,,
,Label,Country:,,,,,
,Type,String,,,,,
,Format,A50,,,,,
,Measurement,Nominal,,,,,
Valid Values, ,,5055,99.6%,,,
,Brazil,,1,.0%,,,
,UK,,1,.0%,,,
,United States,,9,.2%,,,
,US,,1,.0%,,,
,usa,,1,.0%,,,
,USA,,6,.1%,,,
,,,,,,,
q0005_0003,,,,,,q0005_0003,Name of Occupy Camp:
,,Value,Count,Percent,,,
Standard Attributes,Position,12,,,,,
,Label,Name of Occupy Camp:,,,,,
,Type,String,,,,,
,Format,A50,,,,,
,Measurement,Nominal,,,,,
Valid Values, ,,5058,99.7%,,,
,Judy Thomas,,1,.0%,,,
,LSX,,1,.0%,,,
,Occupy Columbia,,1,.0%,,,
,Occupy Lubbock,,2,.0%,,,
,OccupyAustin,,7,.1%,,,
,OccupyDC,,1,.0%,,,
,OSA,,1,.0%,,,
,Owls,,1,.0%,,,
,Santa Rosa,,1,.0%,,,
,,,,,,,
q0006_0001,,,,,,q0006_0001,Date/Time
,,Value,Count,Percent,,,
Standard Attributes,Position,13,,,,,
,Label,Date/Time,,,,,
,Type,String,,,,,
,Format,A25,,,,,
,Measurement,Nominal,,,,,
Valid Values, ,,5055,99.6%,,,
,01/02/2012 12:45 PM,,1,.0%,,,
,01/05/2011 08:05 PM,,1,.0%,,,
,01/05/2012 12:42 AM,,1,.0%,,,
,01/06/2012 02:33 PM,,1,.0%,,,
,01/07/2012 02:12 PM,,1,.0%,,,
,01/07/2012 02:45 PM,,3,.1%,,,
,01/07/2012 03:00 PM,,1,.0%,,,
,01/07/2012 04:07 PM,,1,.0%,,,
,01/07/2012 04:31 PM,,1,.0%,,,
,01/07/2012 05:00 PM,,1,.0%,,,
,01/10/2012 09:18 AM,,1,.0%,,,
,01/10/2012 09:42 PM,,1,.0%,,,
,11/30/2011 11:30 AM,,1,.0%,,,
,12/12/2011 01:26 PM,,1,.0%,,,
,12/12/2011 07:53 PM,,1,.0%,,,
,12/13/2011 12:03 PM,,1,.0%,,,
,12/30/2011 07:56 PM,,1,.0%,,,
,,,,,,,
q0007,,,,,,q0007,Where did you find the link to this survey? 
,,Value,Count,Percent,,,
Standard Attributes,Position,14,,,,,
,Label,Where did you find the link to this survey? ,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,OccupyTogether.org,532,10.5%,,,
,2,Occupyresearch.net,165,3.3%,,,
,3,Facebook,2504,49.3%,,,
,4,Twitter,322,6.3%,,,
,5,From a personal contact,859,16.9%,,,
Missing Values,999,No Answer,692,13.6%,,,
,,,,,,,
q0007_other,,,,,,q0007_other,Other (please specify or paste the URL)
,,Value,,,,,
Standard Attributes,Position,15,,,,,
,Label,Other (please specify or paste the URL),,,,,
,Type,String,,,,,
,Format,A177,,,,,
,Measurement,Nominal,,,,,
,,,,,,,
q0008,,,,,,q0008,Have you ever been to an Occupy camp? 
,,Value,Count,Percent,,,
Standard Attributes,Position,16,,,,,
,Label,Have you ever been to an Occupy camp? ,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Yes,3208,63.2%,,,
,2,No,1862,36.7%,,,
Missing Values,999,No Answer,4,.1%,,,
,,,,,,,
q0008_other,,,,,,q0008_other,Camp code(s)
,,Value,,,,,
Standard Attributes,Position,17,,,,,
,Label,Camp code(s),,,,,
,Type,String,,,,,
,Format,A141,,,,,
,Measurement,Nominal,,,,,
,,,,,,,
q0009,,,,,,q0009,Please describe how frequently you have been to a camp. Choose only one answer:
,,Value,Count,Percent,,,
Standard Attributes,Position,18,,,,,
,Label,Please describe how frequently you have been to a camp. Choose only one answer:,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,I live in the camp,109,2.1%,,,
,2,I’ve been many times,1109,21.9%,,,
,3,I’ve been a few times,1302,25.7%,,,
,4,I’ve been once,612,12.1%,,,
Missing Values,999,No Answer,76,1.5%,,,
,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0001,,,,,,q0010_0001,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,19,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Slept in an Occupy camp,552,10.9%,,,
,999,No Answer,2656,52.3%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0002,,,,,,q0010_0002,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,20,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
